contig	unamb_read_count_gi|556503834|ref|NC_000913.3|Escherichia_coli_str._K-12_substr._MG1655,complete_genome	unamb_read_count_gi|407479587|ref|NC_018658.1|Escherichia_coli_O104:H4_str._2011C-3493_chromosome+plasmids,complete_genome	unamb_read_count_gi|15829254|ref|NC_002695.1|Escherichia_coli_O157:H7_str.Sakai_chromosome+plasmids,complete_genome	unamb_read_count_gi|91209055|ref|NC_007946.1|Escherichia_coli_UTI89_chromosome+plasmid,complete_genome	unamb_read_count_gi|215485161|ref|NC_011601.1|Escherichia_coli_O127:H6_str.E2348/69_chromosome+plasmids,complete_genome	unamb_read_count_gi|29611500|ref|NC_004703.1|_Bacteroides_thetaiotaomicron_VPI-5482_plasmid_p5482,_complete_sequence	unamb_read_count_gi|150002608|ref|NC_009614.1|_Bacteroides_vulgatus_ATCC_8482_chromosome,_complete_genome	unamb_read_count_gi|324959701|ref|NC_015166.1|_Bacteroides_salanitronis_DSM_18170_plasmid_pBACSA03,_complete_sequence	unamb_read_count_gi|375356399|ref|NC_016776.1|_Bacteroides_fragilis_638R,_complete_genome	unamb_read_count_gi|238922432|ref|NC_012781.1|_Eubacterium_rectale_ATCC_33656,_complete_genome	unamb_read_count_gi|312132275|ref|NC_014656.1|_Bifidobacterium_longum_subsp._longum_BBMN68_chromosome,_complete_genome	unamb_read_count_gi|347530298|ref|NC_015977.1|_Roseburia_hominis_A2-183_chromosome,_complete_genome	unamb_read_count_gi|319899888|ref|NC_014933.1|_Bacteroides_helcogenes_P_36-108_chromosome,_complete_genome	unamb_read_count_gi|116334879|ref|NC_008499.1|_Lactobacillus_brevis_ATCC_367_plasmid_2,_complete_sequence	unamb_read_count_gi|187734516|ref|NC_010655.1|_Akkermansia_muciniphila_ATCC_BAA-835_chromosome,_complete_genome	unamb_read_count_gi|410023236|ref|NC_018937.1|_Helicobacter_pylori_Rif1_chromosome,_complete_genome	unamb_read_count_gi|397698507|ref|NC_018223.1|_Enterococcus_faecalis_D32_plasmid_EFD32pB,_complete_sequence	unamb_read_count_gi|317054731|ref|NC_014833.1|_Ruminococcus_albus_7_chromosome,_complete_genome	unamb_read_count_gi|383843669|ref|NC_017179.1|_Clostridium_difficile_BI1,_complete_genome	unamb_read_count_gi|479208076|ref|NC_021042.1|_Faecalibacterium_prausnitzii_L2-6,_complete_genome	amb_read_count_gi|556503834|ref|NC_000913.3|Escherichia_coli_str._K-12_substr._MG1655,complete_genome	amb_read_count_gi|407479587|ref|NC_018658.1|Escherichia_coli_O104:H4_str._2011C-3493_chromosome+plasmids,complete_genome	amb_read_count_gi|15829254|ref|NC_002695.1|Escherichia_coli_O157:H7_str.Sakai_chromosome+plasmids,complete_genome	amb_read_count_gi|91209055|ref|NC_007946.1|Escherichia_coli_UTI89_chromosome+plasmid,complete_genome	amb_read_count_gi|215485161|ref|NC_011601.1|Escherichia_coli_O127:H6_str.E2348/69_chromosome+plasmids,complete_genome	amb_read_count_gi|29611500|ref|NC_004703.1|_Bacteroides_thetaiotaomicron_VPI-5482_plasmid_p5482,_complete_sequence	amb_read_count_gi|150002608|ref|NC_009614.1|_Bacteroides_vulgatus_ATCC_8482_chromosome,_complete_genome	amb_read_count_gi|324959701|ref|NC_015166.1|_Bacteroides_salanitronis_DSM_18170_plasmid_pBACSA03,_complete_sequence	amb_read_count_gi|375356399|ref|NC_016776.1|_Bacteroides_fragilis_638R,_complete_genome	amb_read_count_gi|238922432|ref|NC_012781.1|_Eubacterium_rectale_ATCC_33656,_complete_genome	amb_read_count_gi|312132275|ref|NC_014656.1|_Bifidobacterium_longum_subsp._longum_BBMN68_chromosome,_complete_genome	amb_read_count_gi|347530298|ref|NC_015977.1|_Roseburia_hominis_A2-183_chromosome,_complete_genome	amb_read_count_gi|319899888|ref|NC_014933.1|_Bacteroides_helcogenes_P_36-108_chromosome,_complete_genome	amb_read_count_gi|116334879|ref|NC_008499.1|_Lactobacillus_brevis_ATCC_367_plasmid_2,_complete_sequence	amb_read_count_gi|187734516|ref|NC_010655.1|_Akkermansia_muciniphila_ATCC_BAA-835_chromosome,_complete_genome	amb_read_count_gi|410023236|ref|NC_018937.1|_Helicobacter_pylori_Rif1_chromosome,_complete_genome	amb_read_count_gi|397698507|ref|NC_018223.1|_Enterococcus_faecalis_D32_plasmid_EFD32pB,_complete_sequence	amb_read_count_gi|317054731|ref|NC_014833.1|_Ruminococcus_albus_7_chromosome,_complete_genome	amb_read_count_gi|383843669|ref|NC_017179.1|_Clostridium_difficile_BI1,_complete_genome	amb_read_count_gi|479208076|ref|NC_021042.1|_Faecalibacterium_prausnitzii_L2-6,_complete_genome
contig-340.0	7	9	83384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1840	944	2014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
contig-340.1	0	0	87929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
contig-3000983	174	11	16	11	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68671	12198	4835	28	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
contig-3000982	96464	22491	8278	8660	12234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16455	7646	1472	1326	2076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
contig-3000981	450	206	18	1160	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26982	10191	793	41456	3913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
contig-3000980	32369	7877	2862	3096	4351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26164	6375	2321	2436	3481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
contig-3000887	0	0	0	3	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
contig-1586.0	0	0	0	0	0	0	0	0	0	0	283247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6299	0	0	0	0	0	0	0	0	0
contig-1586.1	0	0	0	0	0	0	0	0	0	0	287082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
contig-1000138	3	218	188	6538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	438	393	9454	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
contig-1000139	109967	27144	9920	10034	14614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27046	6544	2347	2214	3255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
contig-2001716	0	7472	0	2663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
contig-1000130	21572	5263	1864	1918	2902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2165	499	156	182	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
contig-1000131	183362	45157	7184	6999	9903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39109	9677	2183	1016	1403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
contig-1000132	4	307	543	1052	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1177	8137	3167	10681	3994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
contig-1000134	13772	3482	1181	1292	1770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26501	9543	2400	3364	3348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
contig-1000135	77865	17519	5734	5840	8683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54312	14207	4858	2947	4353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
contig-1000137	42042	2574	3712	3185	3461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106868	2988	8177	6424	8109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
contig-1001664.7	0	0	0	0	0	40173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0
contig-1001664.6	0	0	0	0	0	38724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	886	0	0	0	0	0	0	0	0	0	0	0	0	0	0
contig-2001619	0	0	0	361	492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
contig-1001664.4	0	0	0	0	0	39491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	342	0	0	0	0	0	0	0	0	0	0	0	0	0	0
contig-1001664.3	0	0	0	0	0	39669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	287	0	0	0	0	0	0	0	0	0	0	0	0	0	0
contig-1001664.2	0	0	0	0	0	39670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
contig-1001664.1	0	0	0	0	0	35193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4997	0	0	0	0	0	0	0	0	0	0	0	0	0	0
contig-1001664.0	0	0	0	0	0	30738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8698	0	0	0	0	0	0	0	0	0	0	0	0	0	0
contig-1001664.9	0	0	0	0	0	39983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
contig-1001664.8	0	0	0	0	0	39817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
contig-5000388	36	4	18	94	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	5	104	434	657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
contig-1552.50	0	0	0	0	0	0	0	0	136762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6662	0	0	0	0	0	0	0	0	0	0	0
contig-2001618	27804	7144	2050	2193	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9684	3636	1213	1354	1915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
contig-2000037	0	3	0	351	376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1374	0	6865	6677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
contig-4000018	42341	10132	3720	3972	5447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79610	52181	5906	3434	4536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
contig-2000032	203	51	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61409	14961	3442	408	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
contig-4000013	15	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
contig-3001439	44065	10686	3777	3934	5554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14175	3313	1248	1231	1877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
contig-2000038	1	5293	0	2425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3646	0	898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
contig-1000554	119118	28900	10547	10524	14858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42755	10636	3652	4079	5410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
contig-653.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	954	0	0
contig-653.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
contig-653.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
contig-653.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
contig-3001129	90866	34887	7967	13875	14979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41254	9549	2910	4071	5711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
contig-3001126	452	32	163	3409	4508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	84	45	1214	1814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
contig-3001127	71603	18011	6083	6460	9243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26373	3963	1891	1904	2203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
contig-3001124	65247	17039	5507	5779	7783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38856	9336	3456	1800	1386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
contig-3001125	77207	19133	6734	1327	1805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38455	10602	3440	2523	3345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
contig-1596.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
contig-1924	92498	23424	6135	5676	8186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44655	9286	3628	3047	4455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
contig-519	3	0	0	27316	7463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	6043	4263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
contig-518	94028	23121	8063	8682	12581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29169	7118	2428	2647	3839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
contig-513	39697	9894	3407	3684	4925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
contig-511	117710	26691	9498	9228	12929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	423	78	24	43	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
contig-510	42326	10406	3673	3921	5532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2419	578	219	211	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
